Interface,CBO,CLOC,COM_RAT,Command,Cyclic,Dcy,Dcy*,Dpt,Dpt*,IMP,ISA,ISO,ISOA,Jf,JLOC,Jm,Level,Level*,LOC,NCLOC,NTP,PDcy,PDpt,Query,SUB,TCOM_RAT,TODO
com.naman14.timber.MusicService.TrackErrorExtra,2,0,0.00%,0,0,0,0,2,132,0,1,-1,0,0.00%,0,100.00%,1,1,3,3,0,0,2,0,0,0.00%,0
com.naman14.timber.dialogs.StorageSelectDialog.OnDirSelectListener,2,0,0.00%,1,0,0,0,2,133,1,0,0,0,100.00%,0,0.00%,1,1,3,3,0,0,2,0,0,0.00%,0
com.naman14.timber.lastfmapi.LastFmRestService,3,0,0.00%,2,0,2,9,1,132,0,2,1,3,0.00%,0,0.00%,5,6,10,10,0,1,1,0,0,0.00%,0
com.naman14.timber.lastfmapi.LastFmUserRestService,4,3,25.00%,2,121,2,243,2,131,0,1,1,2,0.00%,3,0.00%,2,123,12,9,0,1,1,0,0,33.33%,0
com.naman14.timber.lastfmapi.callbacks.AlbumInfoListener,2,0,0.00%,2,0,1,2,1,132,1,0,1,1,100.00%,0,0.00%,3,3,4,4,0,1,1,0,0,0.00%,0
com.naman14.timber.lastfmapi.callbacks.ArtistInfoListener,2,0,0.00%,2,0,1,6,1,132,5,0,1,1,100.00%,0,0.00%,4,5,4,4,0,1,1,0,0,0.00%,0
com.naman14.timber.lastfmapi.callbacks.UserListener,1,3,42.86%,2,0,0,0,1,132,1,0,1,1,100.00%,3,0.00%,1,1,7,4,0,0,1,0,0,75.00%,0
com.naman14.timber.listeners.MusicStateListener,5,12,70.59%,3,0,0,0,5,132,15,0,2,2,100.00%,12,100.00%,1,1,17,5,0,0,4,0,0,240.00%,0
com.naman14.timber.permissions.PermissionCallback,3,0,0.00%,2,0,0,0,3,134,1,0,1,1,100.00%,0,0.00%,1,1,4,4,0,0,2,0,0,0.00%,0
com.naman14.timber.permissions.PermissionListener,1,15,75.00%,3,0,0,0,1,133,0,0,2,2,100.00%,15,100.00%,1,1,20,5,0,0,1,0,0,300.00%,0
com.naman14.timber.provider.RecentStore.RecentStoreColumns,1,3,37.50%,0,0,0,0,1,132,0,3,-1,2,0.00%,0,100.00%,1,1,8,5,0,0,1,0,0,60.00%,0
com.naman14.timber.provider.SearchHistory.SearchHistoryColumns,1,3,37.50%,0,0,0,0,1,132,0,3,-1,2,0.00%,0,100.00%,1,1,8,5,0,0,1,0,0,60.00%,0
com.naman14.timber.provider.SongPlayCount.SongPlayCountColumns,2,5,41.67%,0,0,0,0,2,132,0,5,-1,4,0.00%,0,100.00%,1,1,12,7,0,0,2,0,0,71.43%,0
com.naman14.timber.slidinguppanel.SlidingUpPanelLayout.PanelSlideListener,2,29,80.56%,5,0,0,0,2,135,2,0,4,4,100.00%,29,100.00%,1,1,36,7,0,0,1,0,0,414.29%,0
com.naman14.timber.utils.FabAnimationUtils.ScaleCallback,1,0,0.00%,2,0,0,0,1,2,0,0,1,1,100.00%,0,0.00%,1,1,4,4,0,0,1,0,0,0.00%,0
com.naman14.timber.utils.LyricsLoader.LyricsRestService,1,0,0.00%,1,0,0,0,1,133,0,0,0,0,100.00%,0,0.00%,1,1,5,5,0,0,1,0,0,0.00%,0
com.naman14.timber.utils.SortOrder.AlbumSongSortOrder,3,9,50.00%,0,0,1,1,2,132,0,6,-1,5,0.00%,3,100.00%,2,2,18,9,0,1,2,0,0,100.00%,0
com.naman14.timber.utils.SortOrder.AlbumSortOrder,2,8,50.00%,0,0,0,0,2,132,0,5,-1,4,0.00%,3,100.00%,1,1,16,8,0,0,2,0,0,100.00%,0
com.naman14.timber.utils.SortOrder.ArtistAlbumSortOrder,1,7,46.67%,0,0,0,0,1,132,0,4,-1,3,0.00%,3,100.00%,1,1,15,8,0,0,1,0,0,87.50%,0
com.naman14.timber.utils.SortOrder.ArtistSongSortOrder,2,10,52.63%,0,0,1,1,1,132,0,7,-1,6,0.00%,3,100.00%,2,2,19,9,0,1,1,0,0,111.11%,0
com.naman14.timber.utils.SortOrder.ArtistSortOrder,2,7,46.67%,0,0,0,0,2,132,0,4,-1,3,0.00%,3,100.00%,1,1,15,8,0,0,2,0,0,87.50%,0
com.naman14.timber.utils.SortOrder.SongSortOrder,4,11,52.38%,0,0,0,0,4,134,0,8,-1,7,0.00%,3,100.00%,1,1,21,10,0,0,2,0,0,110.00%,0
com.naman14.timber.widgets.BubbleTextGetter,4,0,0.00%,0,0,0,0,4,134,3,0,0,0,100.00%,0,0.00%,1,1,3,3,0,0,2,1,0,0.00%,0
com.naman14.timber.widgets.CircularSeekBar.OnCircularSeekBarChangeListener,1,3,37.50%,3,1,1,3,1,133,1,0,2,2,100.00%,3,0.00%,1,2,8,5,0,1,1,0,0,60.00%,0
com.naman14.timber.widgets.DragSortRecycler.OnDragStateChangedListener,1,0,0.00%,2,0,0,0,1,133,0,0,1,1,100.00%,0,0.00%,1,1,4,4,0,0,1,0,0,0.00%,0
com.naman14.timber.widgets.DragSortRecycler.OnItemMovedListener,1,0,0.00%,1,0,0,0,1,133,2,0,0,0,100.00%,0,0.00%,1,1,3,3,0,0,1,0,0,0.00%,0
com.naman14.timber.widgets.PlayPauseButton.OnControlStatusChangeListener,1,0,0.00%,1,0,0,0,1,133,0,0,0,0,100.00%,0,0.00%,1,1,3,3,0,0,1,0,0,0.00%,0
com.naman14.timber.widgets.TextDrawable.IBuilder,3,0,0.00%,0,4,1,4,2,4,1,0,0,0,100.00%,0,0.00%,1,5,3,3,0,1,1,1,0,0.00%,0
com.naman14.timber.widgets.TextDrawable.IConfigBuilder,2,0,0.00%,0,4,1,4,2,4,1,0,8,8,100.00%,0,0.00%,1,5,11,11,0,1,1,9,0,0.00%,0
com.naman14.timber.widgets.TextDrawable.IShapeBuilder,4,0,0.00%,0,4,3,4,3,4,1,0,6,6,100.00%,0,0.00%,1,5,9,9,0,1,1,7,0,0.00%,0
